[2024-03-04 04:00:34] [policyServer.c:1079] - Created 'policies' table.
[2024-03-04 04:00:34] [policyServer.c:1444] - Starting the application
[2024-03-04 04:00:34] [policyServer.c:508] - MAX_PACKET_LEN: 1500
[2024-03-04 04:00:34] [policyServer.c:513] - RX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:518] - TX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:523] - NUM_MBUFS: 8191
[2024-03-04 04:00:34] [policyServer.c:528] - MBUF_CACHE_SIZE: 250
[2024-03-04 04:00:34] [policyServer.c:533] - BURST_SIZE: 32
[2024-03-04 04:00:34] [policyServer.c:538] - MAX_TCP_PAYLOAD_LEN: 1024
[2024-03-04 04:00:34] [policyServer.c:563] - PS ID: 07cd5873-eeb2-47f2-9e4b-72333c85814f
[2024-03-04 04:00:34] [policyServer.c:568] - HOSTNAME: http://192.168.0.70:3000
[2024-03-04 04:00:34] [policyServer.c:543] - STAT_FILE: stats/stats
[2024-03-04 04:00:34] [policyServer.c:548] - STAT_FILE_EXT: .csv
[2024-03-04 04:00:34] [policyServer.c:553] - TIMER_PERIOD_STATS: 1
[2024-03-04 04:00:34] [policyServer.c:558] - TIMER_PERIOD_SEND: 1
[2024-03-04 04:00:34] [policyServer.c:1452] - Load config done
[2024-03-04 04:00:34] [policyServer.c:1472] - Clean the statistics data
[2024-03-04 04:00:34] [policyServer.c:1492] - Create mbuf pool done
[2024-03-04 04:00:34] [policyServer.c:385] - Port 0 MAC: ae 50 82 be 45 ac
[2024-03-04 04:00:34] [policyServer.c:385] - Port 1 MAC: 0a 73 10 a5 ce 50
[2024-03-04 04:00:34] [policyServer.c:1520] - Main on core 1
[2024-03-04 04:00:34] [policyServer.c:1526] - Stats on core 2
[2024-03-04 04:00:34] [policyServer.c:1532] - DB on core 3
[2024-03-04 04:00:34] [policyServer.c:1538] - Run the lcore main function
[2024-03-04 04:00:34] [policyServer.c:1543] - Run the stats
[2024-03-04 04:00:34] [policyServer.c:1299] - 
Core 1 forwarding packets. [Ctrl+C to quit]
[2024-03-04 04:00:34] [policyServer.c:1547] - Run the Kafka Broker
[2024-03-04 04:00:34] [policyServer.c:1262] - Starting stats process in 2
[2024-03-04 04:00:34] [policyServer.c:1552] - Run the heartbeat
[2024-03-04 04:00:34] [policyServer.c:398] - Opening file stats/stats2024-03-04T04:00:00.csv
[2024-03-04 04:00:34] [policyServer.c:1405] - Time : 2024-03-04T04:00:34.000Z
[2024-03-04 04:00:34] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:34.000Z"}]
[2024-03-04 04:00:34] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1352,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:34.000Z"}]} 
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","hit_count":0,"name":"Natthan","domain":"blabla.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","name":"Natthan","domain":"blabla.com","ip_add":"222.222.222.222","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e88a9ee1-97ed-431d-8684-d489157d8441","hit_count":0,"name":"HAI","domain":"wikipedia.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - wikipedia.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"a6c3e2ef-80c3-47ce-aee3-ce28d1bbfa86","hit_count":0,"name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"6255214d-31e4-4336-a9b7-a91e068a6ae0","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"c2ca554c-1997-42ff-b92f-a7d6a71063d1","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"09b38ca9-2c98-49be-bd89-1bd9314485d9","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"09b38ca9-2c98-49be-bd89-1bd9314485d9","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"a261568f-0d3f-4c1d-98c7-7e2c4afe3769","hit_count":0,"name":"Kemas 4","domain":"Kemas 4","ip_add":"Kemas 4"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 4 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"a261568f-0d3f-4c1d-98c7-7e2c4afe3769","name":"Kemas 4","domain":"Kemas 4","ip_add":"Kemas 4","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 4 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d5bf9570-3fc6-4da8-8c24-c006cdcfe646","hit_count":0,"name":"Kemas 5","domain":"Kemas 5","ip_add":"Kemas 5"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 5 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"64d3d6be-40fb-4b30-ad0f-e0fdab0e8d7e","hit_count":0,"name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"32dcd83f-5321-41bd-9fca-233da66ef2bb","hit_count":0,"name":"Kemas 7","domain":"Kemas 7","ip_add":"Kemas 7"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 7 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"64d3d6be-40fb-4b30-ad0f-e0fdab0e8d7e","name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"a6c3e2ef-80c3-47ce-aee3-ce28d1bbfa86","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d5bf9570-3fc6-4da8-8c24-c006cdcfe646","name":"Kemas 5","domain":"Kemas 5","ip_add":"Kemas 5","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 5 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"32dcd83f-5321-41bd-9fca-233da66ef2bb","name":"Kemas 7","domain":"Kemas 7","ip_add":"Kemas 7","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 7 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"cf356fe3-55a1-47af-a0ed-b57db084593a","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"1e5a7502-f19b-4f0b-960d-f881eb6ee3d9","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"a4ec847a-30e0-47ba-9fd3-9f1a7549bcab","hit_count":0,"name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"cf356fe3-55a1-47af-a0ed-b57db084593a","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"2e31f235-4a89-4f1c-87cb-3fc36c899357","hit_count":0,"name":"Kemas 4","domain":"Kemas 4","ip_add":"Kemas 4"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 4 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"1e5a7502-f19b-4f0b-960d-f881eb6ee3d9","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"a4ec847a-30e0-47ba-9fd3-9f1a7549bcab","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"2f554d32-5392-464f-a3e9-97f87eb6a0a9","hit_count":0,"name":"Kemas 5","domain":"Kemas 5","ip_add":"Kemas 5"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 5 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"12d656d4-85ac-40be-8768-6dd240811741","hit_count":0,"name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"2e31f235-4a89-4f1c-87cb-3fc36c899357","name":"Kemas 4","domain":"Kemas 4","ip_add":"Kemas 4","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 4 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"2f554d32-5392-464f-a3e9-97f87eb6a0a9","name":"Kemas 5","domain":"Kemas 5","ip_add":"Kemas 5","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 5 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"12d656d4-85ac-40be-8768-6dd240811741","name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d4b946d2-9112-478f-abe1-cd2be2513546","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"c2d15306-d1b3-4807-b19d-6beacf1b3f2e","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"d4b946d2-9112-478f-abe1-cd2be2513546","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c2d15306-d1b3-4807-b19d-6beacf1b3f2e","name":"Kemas 4","domain":"Kemas 4","ip_add":"Kemas 4","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 4 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c2d15306-d1b3-4807-b19d-6beacf1b3f2e","name":"Kemas 5","domain":"Kemas 5","ip_add":"Kemas 5","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 5 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c2d15306-d1b3-4807-b19d-6beacf1b3f2e","name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"c2d15306-d1b3-4807-b19d-6beacf1b3f2e","name":"Kemas 6","domain":"Kemas 6","ip_add":"Kemas 6","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 6 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d4b946d2-9112-478f-abe1-cd2be2513546","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"5b3fffcf-1676-425b-ba03-a45ff2b3930c","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e9fc5db4-72a2-4904-9a61-0a507778be9a","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"5b3fffcf-1676-425b-ba03-a45ff2b3930c","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"5b3fffcf-1676-425b-ba03-a45ff2b3930c","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"e9fc5db4-72a2-4904-9a61-0a507778be9a","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
